2018-12-19 23:48:12, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 32ms
2018-12-19 23:48:22, Verisign, 64.6.64.6, ONLINE, 0, 103ms
2018-12-19 23:48:33, Google, 8.8.8.8, ONLINE, 0, 423ms
2018-12-19 23:48:43, Quad, 9.9.9.9, ONLINE, 0, 27ms
2018-12-19 23:48:53, DNS Watch, 84.200.69.80, ONLINE, 0, 125ms
2018-12-19 23:49:03, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 33ms
2018-12-19 23:49:13, OpenDNS Home, 208.67.220.220, ONLINE, 0, 28ms
2018-12-19 23:49:23, Cloudflare, 1.0.0.1, ONLINE, 0, 28ms
2018-12-19 23:49:33, FreeDNS, 45.33.97.5, ONLINE, 0, 48ms
2018-12-19 23:49:43, Alternate DNS, 23.253.163.53, ONLINE, 0, 46ms
2018-12-19 23:49:53, Dyn, 216.146.36.36, ONLINE, 0, 30ms
2018-12-19 23:50:03, SafeDNS, 195.46.39.39, ONLINE, 0, 138ms
2018-12-19 23:50:13, OpenNIC, 172.98.193.42, ONLINE, 0, 49ms
2018-12-19 23:50:24, Yandex DNS, 77.88.8.1, ONLINE, 0, 408ms
2018-12-19 23:50:39, UncensoredDNS, 91.239.100.100, OFFLINE, 1, 0m
2018-12-19 23:50:49, Hurricane Electric, 74.82.42.42, ONLINE, 0, 96ms
2018-12-19 23:50:59, puntCAT, 109.69.8.51, ONLINE, 0, 121ms
2018-12-19 23:51:09, Neustar, 156.154.71.1, ONLINE, 0, 26ms
2018-12-19 23:51:19, CleanBrowsing, 185.228.169.9, ONLINE, 0, 268ms
2018-12-19 23:51:29, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 22ms
2018-12-19 23:51:41, Verisign, 64.6.65.6, SLOW, 1, 1963ms
2018-12-19 23:51:51, Google, 8.8.8.8, ONLINE, 0, 28ms
2018-12-19 23:52:01, Quad, 9.9.9.9, ONLINE, 0, 27ms
2018-12-19 23:52:13, DNS Watch, 84.200.70.40, SLOW, 1, 1654ms
2018-12-19 23:52:23, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 32ms
2018-12-19 23:52:34, OpenDNS Home, 208.67.222.222, ONLINE, 0, 663ms
2018-12-19 23:52:44, Cloudflare, 1.1.1.1, ONLINE, 0, 26ms
2018-12-19 23:52:54, FreeDNS, 45.33.97.5, ONLINE, 0, 43ms
2018-12-19 23:53:04, Alternate DNS, 23.253.163.53, ONLINE, 0, 42ms
2018-12-19 23:53:14, Dyn, 216.146.36.36, ONLINE, 0, 81ms
2018-12-19 23:53:24, SafeDNS, 195.46.39.39, ONLINE, 0, 140ms
2018-12-19 23:53:34, OpenNIC, 172.98.193.42, ONLINE, 0, 49ms
2018-12-19 23:53:49, Yandex DNS, 77.88.8.8, OFFLINE, 1, 0m
2018-12-19 23:53:59, UncensoredDNS, 89.233.43.71, ONLINE, 0, 111ms
2018-12-19 23:54:09, Hurricane Electric, 74.82.42.42, ONLINE, 0, 102ms
2018-12-19 23:54:19, puntCAT, 109.69.8.51, ONLINE, 0, 118ms
2018-12-19 23:54:29, Neustar, 156.154.70.1, ONLINE, 0, 48ms
2018-12-19 23:54:40, CleanBrowsing, 185.228.169.9, ONLINE, 0, 271ms
2018-12-19 23:54:50, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 28ms
2018-12-19 23:55:00, Verisign, 64.6.65.6, ONLINE, 0, 554ms
2018-12-19 23:55:15, Google, 8.8.8.8, OFFLINE, 1, 0m
2018-12-19 23:55:25, Quad, 9.9.9.9, ONLINE, 0, 23ms
2018-12-19 23:55:35, DNS Watch, 84.200.69.80, ONLINE, 0, 140ms
2018-12-19 23:55:46, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 27ms
2018-12-19 23:55:56, OpenDNS Home, 208.67.222.222, ONLINE, 0, 42ms
2018-12-19 23:56:06, Cloudflare, 1.1.1.1, ONLINE, 0, 23ms
2018-12-19 23:56:16, FreeDNS, 45.33.97.5, ONLINE, 0, 51ms
2018-12-19 23:56:26, Alternate DNS, 198.101.242.72, ONLINE, 0, 64ms
2018-12-19 23:56:41, Dyn, 216.146.36.36, OFFLINE, 1, 0m
2018-12-19 23:56:56, SafeDNS, 195.46.39.39, OFFLINE, 2, 0m
2018-12-19 23:57:11, OpenNIC, 172.98.193.42, OFFLINE, 3, 0m
2018-12-19 23:57:21, Yandex DNS, 77.88.8.1, ONLINE, 0, 295ms
2018-12-19 23:57:31, UncensoredDNS, 89.233.43.71, ONLINE, 0, 115ms
2018-12-19 23:57:41, Hurricane Electric, 74.82.42.42, ONLINE, 0, 116ms
2018-12-19 23:57:51, puntCAT, 109.69.8.51, ONLINE, 0, 123ms
2018-12-19 23:58:01, Neustar, 156.154.70.1, ONLINE, 0, 44ms
2018-12-19 23:58:13, CleanBrowsing, 185.228.169.9, SLOW, 1, 1175ms
2018-12-19 23:58:23, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 30ms
2018-12-19 23:58:34, Verisign, 64.6.64.6, ONLINE, 0, 948ms
2018-12-19 23:58:45, Google, 8.8.8.8, SLOW, 1, 1018ms
2018-12-19 23:59:00, Quad, 9.9.9.9, OFFLINE, 1, 0m
2018-12-19 23:59:10, DNS Watch, 84.200.69.80, ONLINE, 0, 117ms
2018-12-19 23:59:20, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 29ms
2018-12-19 23:59:30, OpenDNS Home, 208.67.220.220, ONLINE, 0, 41ms
2018-12-19 23:59:40, Cloudflare, 1.0.0.1, ONLINE, 0, 15ms
2018-12-19 23:59:50, FreeDNS, 37.235.1.177, ONLINE, 0, 125ms
2018-12-19 00:00:00, Alternate DNS, 198.101.242.72, ONLINE, 0, 64ms
2018-12-19 00:00:10, Dyn, 216.146.35.35, ONLINE, 0, 37ms
2018-12-19 00:00:20, SafeDNS, 195.46.39.39, ONLINE, 0, 147ms
2018-12-19 00:00:35, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 00:00:45, Yandex DNS, 77.88.8.8, ONLINE, 0, 140ms
2018-12-19 00:00:55, UncensoredDNS, 89.233.43.71, ONLINE, 0, 124ms
2018-12-19 00:01:06, Hurricane Electric, 74.82.42.42, ONLINE, 0, 102ms
2018-12-19 00:01:16, puntCAT, 109.69.8.51, ONLINE, 0, 187ms
2018-12-19 00:01:26, Neustar, 156.154.71.1, ONLINE, 0, 30ms
2018-12-19 00:01:36, CleanBrowsing, 185.228.169.9, ONLINE, 0, 278ms
2018-12-19 00:01:46, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 28ms
2018-12-19 00:01:56, Verisign, 64.6.64.6, ONLINE, 0, 111ms
2018-12-19 00:02:11, Google, 8.8.4.4, OFFLINE, 1, 0m
2018-12-19 00:02:21, Quad, 9.9.9.9, ONLINE, 0, 23ms
2018-12-19 00:02:31, DNS Watch, 84.200.70.40, ONLINE, 0, 121ms
2018-12-19 00:02:41, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 29ms
2018-12-19 00:02:53, OpenDNS Home, 208.67.222.222, SLOW, 1, 1289ms
2018-12-19 00:03:03, Cloudflare, 1.1.1.1, ONLINE, 0, 45ms
2018-12-19 00:03:13, FreeDNS, 37.235.1.177, ONLINE, 0, 131ms
2018-12-19 00:03:28, Alternate DNS, 198.101.242.72, OFFLINE, 1, 0m
2018-12-19 00:03:38, Dyn, 216.146.36.36, ONLINE, 0, 39ms
2018-12-19 00:03:48, SafeDNS, 195.46.39.40, ONLINE, 0, 138ms
2018-12-19 00:04:03, OpenNIC, 172.98.193.42, OFFLINE, 1, 0m
2018-12-19 00:04:13, Yandex DNS, 77.88.8.1, ONLINE, 0, 136ms
2018-12-19 00:04:23, UncensoredDNS, 91.239.100.100, ONLINE, 0, 114ms
2018-12-19 00:04:33, Hurricane Electric, 74.82.42.42, ONLINE, 0, 111ms
2018-12-19 00:04:48, puntCAT, 109.69.8.51, OFFLINE, 1, 0m
2018-12-19 00:04:58, Neustar, 156.154.71.1, ONLINE, 0, 25ms
2018-12-19 00:05:08, CleanBrowsing, 185.228.168.9, ONLINE, 0, 28ms
