
[2018-12-18 10:21:54]| ~Cloudflare|~1.0.0.1^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 10:22:09]| ~FreeDNS|~37.235.1.177^ says you are| (OFFLINE -- failure 3, Offline for 0m)
[2018-12-18 11:14:00]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 11:20:28]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:44:21]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:52:19]| ~Comodo Secure DNS|~8.20.247.20^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:53:51]| ~Yandex DNS|~77.88.8.8^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:54:27]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:56:51]| ~Dyn|~216.146.35.35^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 12:57:58]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:01:17]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:04:38]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:21:15]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:24:34]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:25:20]| ~Verisign|~64.6.65.6^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:28:49]| ~Google|~8.8.8.8^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:34:26]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:47:18]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:50:35]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:53:21]| ~Yandex DNS|~77.88.8.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:53:56]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 13:59:56]| ~Yandex DNS|~77.88.8.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:03:44]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:07:00]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:10:17]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:13:34]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:22:09]| ~Alternate DNS|~23.253.163.53^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:22:24]| ~Dyn|~216.146.36.36^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 14:22:49]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:30:00]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:30:58]| ~Google|~8.8.8.8^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:33:37]| ~Neustar|~156.154.70.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:42:42]| ~Yandex DNS|~77.88.8.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:43:30]| ~Neustar|~156.154.71.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:48:01]| ~Comodo Secure DNS|~8.26.56.26^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:49:58]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:50:53]| ~Google|~8.8.8.8^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:51:38]| ~OpenDNS Home|~208.67.220.220^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:52:03]| ~FreeDNS|~37.235.1.177^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:52:49]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
